0 0 
0 1 0 
0 2 0 
0 3 0 
0 4 0 
0 5 0 
0 6 0 
0 7 0 
0 8 0 
0 9 0 
0 10 0 
0 11 0 
0 12 0 
0 2 1 0 
0 1 3 0 
0 1 4 0 
0 1 5 0 
0 1 6 0 
0 1 7 0 
0 1 8 0 
0 1 9 0 
0 1 10 0 
0 1 11 0 
0 1 12 0 
0 2 3 0 
0 2 4 0 
0 2 5 0 
0 2 6 0 
0 2 7 0 
0 2 8 0 
0 2 9 0 
0 2 10 0 
0 2 11 0 
0 2 12 0 
0 4 3 0 
0 3 5 0 
0 3 6 0 
0 3 7 0 
0 3 8 0 
0 3 9 0 
0 3 10 0 
0 3 11 0 
0 3 12 0 
0 4 5 0 
0 4 6 0 
0 4 7 0 
0 4 8 0 
0 4 9 0 
0 4 10 0 
0 4 11 0 
0 4 12 0 
0 6 5 0 
0 7 5 0 
0 8 5 0 
0 5 9 0 
0 5 10 0 
0 5 11 0 
0 5 12 0 
0 7 6 0 
0 8 6 0 
0 6 9 0 
0 6 10 0 
0 6 11 0 
0 6 12 0 
0 8 7 0 
0 7 9 0 
0 7 10 0 
0 7 11 0 
0 7 12 0 
0 8 9 0 
0 8 10 0 
0 8 11 0 
0 8 12 0 
0 10 9 0 
0 9 11 0 
0 9 12 0 
0 10 11 0 
0 10 12 0 
0 12 11 0 
0 2 1 3 0 
0 2 1 4 0 
0 2 1 5 0 
0 2 1 6 0 
0 2 1 7 0 
0 2 1 8 0 
0 2 1 9 0 
0 2 1 10 0 
0 2 1 11 0 
0 2 1 12 0 
0 1 4 3 0 
0 1 3 5 0 
0 1 3 6 0 
0 1 7 3 0 
0 1 8 3 0 
0 1 9 3 0 
0 1 10 3 0 
0 1 11 3 0 
0 1 12 3 0 
0 1 4 5 0 
0 1 4 6 0 
0 1 7 4 0 
0 1 8 4 0 
0 1 9 4 0 
0 1 10 4 0 
0 1 11 4 0 
0 1 12 4 0 
0 1 6 5 0 
0 1 7 5 0 
0 1 8 5 0 
0 1 9 5 0 
0 1 10 5 0 
0 1 11 5 0 
0 1 12 5 0 
0 1 7 6 0 
0 1 8 6 0 
0 1 9 6 0 
0 1 10 6 0 
0 1 11 6 0 
0 1 12 6 0 
0 1 8 7 0 
0 1 7 9 0 
0 1 7 10 0 
0 1 7 11 0 
0 1 7 12 0 
0 1 8 9 0 
0 1 8 10 0 
0 1 8 11 0 
0 1 8 12 0 
0 1 10 9 0 
0 1 9 11 0 
0 1 9 12 0 
0 1 10 11 0 
0 1 10 12 0 
0 1 12 11 0 
0 2 4 3 0 
0 2 3 5 0 
0 2 3 6 0 
0 2 7 3 0 
0 2 8 3 0 
0 2 9 3 0 
0 2 10 3 0 
0 2 11 3 0 
0 2 12 3 0 
0 2 4 5 0 
0 2 4 6 0 
0 2 7 4 0 
0 2 8 4 0 
0 2 9 4 0 
0 2 10 4 0 
0 2 11 4 0 
0 2 12 4 0 
0 2 6 5 0 
0 2 7 5 0 
0 2 8 5 0 
0 2 9 5 0 
0 2 10 5 0 
0 2 11 5 0 
0 2 12 5 0 
0 2 7 6 0 
0 2 8 6 0 
0 2 9 6 0 
0 2 10 6 0 
0 2 11 6 0 
0 2 12 6 0 
0 2 8 7 0 
0 2 7 9 0 
0 2 7 10 0 
0 2 7 11 0 
0 2 7 12 0 
0 2 8 9 0 
0 2 8 10 0 
0 2 8 11 0 
0 2 8 12 0 
0 2 10 9 0 
0 2 9 11 0 
0 2 9 12 0 
0 2 10 11 0 
0 2 10 12 0 
0 2 12 11 0 
0 4 3 5 0 
0 4 3 6 0 
0 4 3 7 0 
0 4 3 8 0 
0 4 3 9 0 
0 4 3 10 0 
0 4 3 11 0 
0 4 3 12 0 
0 3 6 5 0 
0 3 7 5 0 
0 3 8 5 0 
